Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado%,CancMatric%,Dispensado%,Não Concl.%,Repr.Freq%,Reprovado%,Tr.Parcial%,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos,Total %
2023,1. Semestre,D200888,10,P642380402,123,Física - Bacharelado,38,0,0,0,33,29,0,9,0,0,0,8,7,0,24,100
2023,1. Semestre,D200888,11,P888683642,402,Engenharia Florestal,45,0,0,0,38,17,0,13,0,0,0,11,5,0,29,100
2023,1. Semestre,D200888,12,P380148200,110,Química Industrial,29,0,0,0,29,41,0,5,0,0,0,5,7,0,17,99
2023,1. Semestre,D200888,12,P380148200,133,Química - Bacharelado,44,0,0,0,25,31,0,7,0,0,0,4,5,0,16,100
2023,1. Semestre,D200888,13,P642380402,521,Ciências Econômicas - Diurno,20,2,0,0,64,13,0,9,1,0,0,29,6,0,45,99
2023,1. Semestre,D200888,14,P888402148,305,Engenharia Química,23,0,0,0,40,37,0,8,0,0,0,14,13,0,35,100
2023,1. Semestre,D200888,50,P380148200,305,Engenharia Química,0,0,0,0,0,100,0,0,0,0,0,0,1,0,1,100
2023,1. Semestre,D200888,15,P888402148,139,Curso de Bacharelado em Estatística - Noturno,43,0,0,0,35,22,0,10,0,0,0,8,5,0,23,100
2023,1. Semestre,D402855,CC,E642946200380,307,Ciência da Computação - Bacharelado,81,0,0,0,0,19,0,22,0,0,0,0,5,0,27,100
2023,1. Semestre,D888148,SI1,C320402855200,314,Bacharelado em Sistemas de Informação,0,0,0,0,100,0,0,0,0,0,0,3,0,0,3,100
2023,1. Semestre,D888148,CC1,C320402855200,307,Ciência da Computação - Bacharelado,67,4,4,0,8,17,0,16,1,1,0,2,4,0,24,100
2023,1. Semestre,D888148,CC2,C380148200685,307,Ciência da Computação - Bacharelado,75,0,0,0,0,25,0,12,0,0,0,0,4,0,16,100
2023,1. Semestre,D888148,SI2,C380148200685,314,Bacharelado em Sistemas de Informação,20,0,0,0,40,40,0,1,0,0,0,2,2,0,5,100
2023,2. Semestre,D200888,10,P380148200,504,Ciências Econômicas - Noturno,36,4,0,0,30,30,0,19,2,0,0,16,16,0,53,100
2023,2. Semestre,D200888,11,P888683320,402,Engenharia Florestal,24,0,0,2,38,36,0,11,0,0,1,17,16,0,45,100
2023,2. Semestre,D200888,50,P380148200,110,Química Industrial,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100
2023,2. Semestre,D200888,50,P380148200,305,Engenharia Química,50,0,0,0,0,50,0,1,0,0,0,0,1,0,2,100
2023,2. Semestre,D200888,102,P642380402,102,Física - Licenciatura Plena,29,0,0,0,59,12,0,5,0,0,0,10,2,0,17,100
2023,2. Semestre,D200888,126,P888683320,126,Física - Licenciatura Plena Noturno,29,0,0,0,59,12,0,5,0,0,0,10,2,0,17,100
2023,2. Semestre,D200888,12_307,P681200683,307,Ciência da Computação - Bacharelado,78,2,2,0,12,6,0,38,1,1,0,6,3,0,49,100
2023,2. Semestre,D402855,CC,C946200380402,307,Ciência da Computação - Bacharelado,64,0,0,5,27,5,0,14,0,0,1,6,1,0,22,101
2023,2. Semestre,D888148,SI1,C380148200685,314,Bacharelado em Sistemas de Informação,67,0,0,0,8,25,0,8,0,0,0,1,3,0,12,100
2023,2. Semestre,D888148,CC1,C380148200685,307,Ciência da Computação - Bacharelado,33,0,0,0,33,33,0,1,0,0,0,1,1,0,3,99
2023,2. Semestre,D888148,CC2,C218200683888,307,Ciência da Computação - Bacharelado,40,0,0,0,60,0,0,2,0,0,0,3,0,0,5,100
2023,2. Semestre,D888148,SI2,C218200683888,314,Bacharelado em Sistemas de Informação,35,0,5,0,25,25,10,7,0,1,0,5,5,2,20,100
